state,answer_set,race,who_vote_for,count,n_respondents,pct_of_respondents
0_ALL_STATES,2024-001,Middle Eastern or Arab,Donald J. Trump,59,111,0.5315315315315315
OK,2024-001,"Native American / American Indian, White",Donald J. Trump,59,119,0.4957983193277311
OK,2024-001,White,Don't know,59,722,0.0817174515235457
NY,2024-001,Black or African American,Donald J. Trump,58,122,0.47540983606557374
AZ,2024-001,Black or African American,Third-Party Candidate,57,595,0.0957983193277311
CA,2024-001,Other,Wouldn't vote,57,413,0.13801452784503632
PA,2024-001,Hispanic or Latino,Donald J. Trump,56,87,0.6436781609195402
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian",Wouldn't vote,55,371,0.14824797843665768
AZ,2024-001,"Hispanic or Latino, White",Donald J. Trump,55,119,0.46218487394957986
AZ,2024-001,Other,Joe Biden,55,265,0.20754716981132076
AZ,2024-001,Other,Wouldn't vote,54,265,0.2037735849056604
CO,2024-001,Hispanic or Latino,Donald J. Trump,54,99,0.5454545454545454
NC,2024-001,Hispanic or Latino,Joe Biden,54,161,0.33540372670807456
AL,2024-001,Black or African American,Joe Biden,53,213,0.24882629107981222
AR,2024-001,Black or African American,Joe Biden,53,207,0.2560386473429952
NC,2024-001,Other,Wouldn't vote,53,346,0.1531791907514451
WA,2024-001,Native American / American Indian,Donald J. Trump,53,107,0.4953271028037383
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian",Wouldn't vote,52,322,0.16149068322981366
AR,2024-001,White,Third-Party Candidate,52,524,0.09923664122137404
IL,2024-001,Hispanic or Latino,Donald J. Trump,52,93,0.5591397849462365
WA,2024-001,White,Don't know,52,893,0.05823068309070549
CA,2024-001,Other,Don't know,51,413,0.1234866828087167
NC,2024-001,Hispanic or Latino,Donald J. Trump,51,161,0.3167701863354037
NC,2024-001,Other,Don't know,51,346,0.14739884393063585
AR,2024-001,White,Wouldn't vote,50,524,0.09541984732824428
IL,2024-001,White,Donald J. Trump,50,83,0.6024096385542169
UT,2024-001,White,Donald J. Trump,50,76,0.6578947368421053
NH,2024-001,White,Donald J. Trump,48,85,0.5647058823529412
WV,2024-001,White,Wouldn't vote,48,615,0.07804878048780488
0_ALL_STATES,2024-001,"Hispanic or Latino, Other",Donald J. Trump,47,129,0.3643410852713178
KY,2024-001,White,Don't know,47,1038,0.04527938342967245
OH,2024-001,Black or African American,Don't know,47,444,0.10585585585585586
OH,2024-001,Black or African American,Third-Party Candidate,47,444,0.10585585585585586
AR,2024-001,White,Joe Biden,46,524,0.08778625954198473
CA,2024-001,"Native American / American Indian, White",Donald J. Trump,46,96,0.4791666666666667
IL,2024-001,Black or African American,Don't know,46,304,0.1513157894736842
OH,2024-001,Black or African American,Wouldn't vote,46,444,0.1036036036036036
PA,2024-001,White,Wouldn't vote,46,324,0.1419753086419753
VA,2024-001,Black or African American,Donald J. Trump,46,101,0.45544554455445546
0_ALL_STATES,2024-001,"Black or African American, White",Joe Biden,45,231,0.19480519480519481
OK,2024-001,Black or African American,Donald J. Trump,45,146,0.3082191780821918
IL,2024-001,Black or African American,Joe Biden,44,304,0.14473684210526316
OR,2024-001,White,Third-Party Candidate,44,317,0.138801261829653
WV,2024-001,White,Third-Party Candidate,44,615,0.07154471544715447
0_ALL_STATES,2024-001,"Asian American, Black or African American, Hispanic or Latino, Middle Eastern or Arab, Native American / American Indian, Native Hawaiian or Pacific Islander, Other, White",Donald J. Trump,43,90,0.4777777777777778
0_ALL_STATES,2024-001,"Other, White",Joe Biden,43,359,0.11977715877437325
0_ALL_STATES,2024-001,"Other, White",Third-Party Candidate,43,359,0.11977715877437325
MA,2024-001,Hispanic or Latino,Donald J. Trump,43,83,0.5180722891566265
OR,2024-001,White,Joe Biden,43,317,0.13564668769716087
0_ALL_STATES,2024-001,"Black or African American, Hispanic or Latino",Joe Biden,42,222,0.1891891891891892
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian, White",Donald J. Trump,42,96,0.4375
AR,2024-001,"Native American / American Indian, White",Donald J. Trump,42,63,0.6666666666666666
CA,2024-001,Native American / American Indian,Joe Biden,42,185,0.22702702702702704
SC,2024-001,Black or African American,Don't know,42,358,0.11731843575418995
WV,2024-001,White,Joe Biden,42,615,0.06829268292682927
0_ALL_STATES,2024-001,Native Hawaiian or Pacific Islander,Joe Biden,41,197,0.20812182741116753
AZ,2024-001,Other,Third-Party Candidate,41,265,0.15471698113207547
NC,2024-001,"Black or African American, Native American / American Indian",Donald J. Trump,41,90,0.45555555555555555
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian",Third-Party Candidate,40,322,0.12422360248447205
OK,2024-001,Black or African American,Joe Biden,40,146,0.273972602739726
SC,2024-001,Black or African American,Wouldn't vote,40,358,0.11173184357541899
0_ALL_STATES,2024-001,"Black or African American, Native American / American Indian",Don't know,39,371,0.10512129380053908
0_ALL_STATES,2024-001,"Hispanic or Latino, Native American / American Indian",Don't know,39,322,0.12111801242236025
0_ALL_STATES,2024-001,"Hispanic or Latino, White",Don't know,39,572,0.06818181818181818
CA,2024-001,Asian American,Joe Biden,39,107,0.3644859813084112
OH,2024-001,"Native American / American Indian, White",Donald J. Trump,39,64,0.609375
SD,2024-001,Native American / American Indian,Donald J. Trump,39,145,0.2689655172413793
WA,2024-001,"Native American / American Indian, White",Donald J. Trump,39,62,0.6290322580645161
AL,2024-001,White,Third-Party Candidate,38,334,0.11377245508982035
AZ,2024-001,Native American / American Indian,Wouldn't vote,38,260,0.14615384615384616
IL,2024-001,Other,Donald J. Trump,38,57,0.6666666666666666
SD,2024-001,Native American / American Indian,Joe Biden,38,145,0.2620689655172414
0_ALL_STATES,2024-001,Asian American,Third-Party Candidate,37,231,0.16017316017316016
NC,2024-001,Other,Joe Biden,37,346,0.1069364161849711
NE,2024-001,Black or African American,Donald J. Trump,37,108,0.3425925925925926
0_ALL_STATES,2024-001,"Black or African American, Other",Joe Biden,36,285,0.12631578947368421
IN,2024-001,White,Donald J. Trump,36,53,0.6792452830188679
0_ALL_STATES,2024-001,"Black or African American, Other",Wouldn't vote,35,285,0.12280701754385964
CA,2024-001,"Hispanic or Latino, White",Joe Biden,35,160,0.21875
KY,2024-001,"Native American / American Indian, White",Donald J. Trump,35,49,0.7142857142857143
0_ALL_STATES,2024-001,"Other, White",Wouldn't vote,34,359,0.0947075208913649
MA,2024-001,Black or African American,Donald J. Trump,34,78,0.4358974358974359
SC,2024-001,White,Third-Party Candidate,34,411,0.0827250608272506
AZ,2024-001,"Hispanic or Latino, Native American / American Indian",Donald J. Trump,33,100,0.33
KY,2024-001,Black or African American,Wouldn't vote,33,225,0.14666666666666667
MO,2024-001,White,Donald J. Trump,33,51,0.6470588235294118
SC,2024-001,White,Wouldn't vote,33,411,0.08029197080291971
WA,2024-001,Hispanic or Latino,Joe Biden,33,164,0.20121951219512196
