state,answer_set,race,who_vote_for,count,n_respondents,pct_of_respondents
0_ALL_STATES,all-surveys,White,Donald J. Trump,8178,13290,0.6153498871331828
0_ALL_STATES,all-surveys,Black or African American,Donald J. Trump,2714,6391,0.42465967767172585
0_ALL_STATES,all-surveys,Hispanic or Latino,Donald J. Trump,1884,4842,0.38909541511771994
0_ALL_STATES,all-surveys,White,Joe Biden,1571,13290,0.118209179834462
0_ALL_STATES,all-surveys,Black or African American,Joe Biden,1474,6391,0.2306368330464716
0_ALL_STATES,all-surveys,Hispanic or Latino,Joe Biden,1381,4842,0.285212722015696
0_ALL_STATES,all-surveys,White,Third-Party Candidate,1377,13290,0.1036117381489842
0_ALL_STATES,all-surveys,White,Wouldn't vote,1298,13290,0.09766741911211436
NC,all-surveys,White,Donald J. Trump,1096,1503,0.729208250166334
AZ,all-surveys,White,Donald J. Trump,978,1977,0.4946889226100152
0_ALL_STATES,all-surveys,Other,Donald J. Trump,849,1866,0.454983922829582
0_ALL_STATES,all-surveys,Black or African American,Don't know,774,6391,0.1211078078547958
0_ALL_STATES,all-surveys,Black or African American,Wouldn't vote,738,6391,0.1154748865592239
0_ALL_STATES,all-surveys,White,Don't know,724,13290,0.054477050413845
CA,all-surveys,White,Donald J. Trump,717,1339,0.5354742345033607
CA,all-surveys,Hispanic or Latino,Donald J. Trump,695,2004,0.3468063872255489
KY,all-surveys,White,Donald J. Trump,691,1038,0.6657032755298651
0_ALL_STATES,all-surveys,"Native American / American Indian, White",Donald J. Trump,686,1103,0.6219401631912964
0_ALL_STATES,all-surveys,Native American / American Indian,Donald J. Trump,642,1331,0.4823441021788129
CA,all-surveys,Hispanic or Latino,Joe Biden,640,2004,0.3193612774451098
NC,all-surveys,Black or African American,Donald J. Trump,610,1436,0.42479108635097496
OH,all-surveys,White,Donald J. Trump,595,941,0.6323060573857598
0_ALL_STATES,all-surveys,Black or African American,Third-Party Candidate,588,6391,0.09200438116100766
WA,all-surveys,White,Donald J. Trump,536,883,0.6070215175537939
0_ALL_STATES,all-surveys,Hispanic or Latino,Wouldn't vote,535,4842,0.11049153242461793
0_ALL_STATES,all-surveys,Hispanic or Latino,Third-Party Candidate,491,4842,0.10140437835605122
0_ALL_STATES,all-surveys,Hispanic or Latino,Don't know,489,4842,0.10099132589838909
AZ,all-surveys,Hispanic or Latino,Donald J. Trump,488,1371,0.3559445660102115
AZ,all-surveys,Hispanic or Latino,Joe Biden,448,1371,0.3267687819110139
WV,all-surveys,White,Donald J. Trump,438,611,0.7168576104746317
AZ,all-surveys,White,Joe Biden,424,1977,0.2144663631765301
OK,all-surveys,White,Donald J. Trump,374,706,0.5297450424929179
AR,all-surveys,White,Donald J. Trump,347,524,0.6622137404580153
NC,all-surveys,Black or African American,Joe Biden,335,1436,0.23328690807799443
0_ALL_STATES,all-surveys,Other,Wouldn't vote,324,1866,0.17363344051446947
CA,all-surveys,Black or African American,Donald J. Trump,308,906,0.33995584988962474
0_ALL_STATES,all-surveys,"Other, White",Donald J. Trump,301,567,0.5308641975308642
SC,all-surveys,White,Donald J. Trump,293,405,0.7234567901234568
0_ALL_STATES,all-surveys,"Hispanic or Latino, White",Donald J. Trump,283,615,0.46016260162601624
CA,all-surveys,Black or African American,Joe Biden,265,906,0.2924944812362031
AZ,all-surveys,White,Third-Party Candidate,256,1977,0.1294891249367729
CA,all-surveys,Hispanic or Latino,Third-Party Candidate,249,2004,0.12425149700598802
0_ALL_STATES,all-surveys,Other,Joe Biden,238,1866,0.12754555198285103
0_ALL_STATES,all-surveys,Other,Third-Party Candidate,233,1866,0.12486602357984995
CA,all-surveys,White,Joe Biden,221,1339,0.1650485436893204
0_ALL_STATES,all-surveys,Native American / American Indian,Joe Biden,218,1331,0.16378662659654394
CA,all-surveys,Hispanic or Latino,Don't know,210,2004,0.10479041916167664
0_ALL_STATES,all-surveys,"Black or African American, Other",Donald J. Trump,208,451,0.4611973392461197
AZ,all-surveys,Black or African American,Donald J. Trump,206,581,0.35456110154905335
PA,all-surveys,White,Donald J. Trump,203,322,0.6304347826086957
NC,all-surveys,Black or African American,Don't know,202,1436,0.14066852367688024
AL,all-surveys,White,Donald J. Trump,199,325,0.6123076923076923
OH,all-surveys,Black or African American,Donald J. Trump,198,442,0.4479638009049774
AZ,all-surveys,White,Wouldn't vote,191,1977,0.09661102680829539
CA,all-surveys,Hispanic or Latino,Wouldn't vote,190,2004,0.09481037924151696
0_ALL_STATES,all-surveys,Native American / American Indian,Wouldn't vote,189,1331,0.14199849737039819
0_ALL_STATES,all-surveys,Other,Don't know,186,1866,0.09967845659163987
CA,all-surveys,White,Third-Party Candidate,183,1339,0.13666915608663183
OR,all-surveys,White,Donald J. Trump,178,309,0.5760517799352751
AZ,all-surveys,Hispanic or Latino,Wouldn't vote,174,1371,0.12691466083150985
IL,all-surveys,Black or African American,Donald J. Trump,173,307,0.5635179153094463
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian",Donald J. Trump,170,393,0.43256997455470736
AZ,all-surveys,Black or African American,Joe Biden,163,581,0.28055077452667815
SC,all-surveys,Black or African American,Donald J. Trump,162,359,0.45125348189415043
0_ALL_STATES,all-surveys,Native American / American Indian,Third-Party Candidate,160,1331,0.12021036814425244
CA,all-surveys,Other,Donald J. Trump,156,383,0.4073107049608355
NC,all-surveys,Black or African American,Wouldn't vote,150,1436,0.10445682451253482
NE,all-surveys,White,Donald J. Trump,149,251,0.5936254980079682
NC,all-surveys,Other,Donald J. Trump,146,316,0.4620253164556962
0_ALL_STATES,all-surveys,"Native American / American Indian, White",Third-Party Candidate,139,1103,0.12601994560290117
TX,all-surveys,White,Donald J. Trump,133,190,0.7
0_ALL_STATES,all-surveys,"Black or African American, White",Donald J. Trump,130,260,0.5
MI,all-surveys,White,Donald J. Trump,127,187,0.679144385026738
AZ,all-surveys,Hispanic or Latino,Don't know,126,1371,0.09190371991247265
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian",Donald J. Trump,124,341,0.36363636363636365
CA,all-surveys,Black or African American,Don't know,122,906,0.1346578366445916
CA,all-surveys,White,Wouldn't vote,120,1339,0.08961911874533234
NC,all-surveys,"Native American / American Indian, White",Donald J. Trump,119,144,0.8263888888888888
NC,all-surveys,Black or African American,Third-Party Candidate,118,1436,0.08217270194986072
0_ALL_STATES,all-surveys,"Hispanic or Latino, White",Joe Biden,117,615,0.1902439024390244
AZ,all-surveys,Hispanic or Latino,Third-Party Candidate,116,1371,0.08460977388767323
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino",Donald J. Trump,114,240,0.475
NC,all-surveys,White,Joe Biden,114,1503,0.07584830339321358
0_ALL_STATES,all-surveys,"Native American / American Indian, White",Joe Biden,110,1103,0.09972801450589303
SD,all-surveys,White,Donald J. Trump,109,189,0.5767195767195767
NC,all-surveys,Native American / American Indian,Donald J. Trump,108,141,0.7659574468085106
NC,all-surveys,White,Wouldn't vote,107,1503,0.07119095143047238
MA,all-surveys,White,Donald J. Trump,106,156,0.6794871794871795
CO,all-surveys,White,Donald J. Trump,104,162,0.6419753086419753
WA,all-surveys,White,Third-Party Candidate,104,883,0.11778029445073612
0_ALL_STATES,all-surveys,"Hispanic or Latino, White",Third-Party Candidate,103,615,0.16747967479674797
AZ,all-surveys,White,Don't know,103,1977,0.05209914011127972
0_ALL_STATES,all-surveys,Native American / American Indian,Don't know,101,1331,0.07588279489105935
VA,all-surveys,White,Donald J. Trump,101,146,0.6917808219178082
KY,all-surveys,White,Joe Biden,100,1038,0.09633911368015415
NY,all-surveys,White,Donald J. Trump,100,168,0.5952380952380952
CA,all-surveys,Black or African American,Third-Party Candidate,98,906,0.10816777041942605
KY,all-surveys,White,Third-Party Candidate,98,1038,0.09441233140655106
CA,all-surveys,Black or African American,Wouldn't vote,97,906,0.10706401766004416
OH,all-surveys,White,Wouldn't vote,97,941,0.1030818278427205
0_ALL_STATES,all-surveys,"Native American / American Indian, Other, White",Donald J. Trump,96,203,0.4729064039408867
KY,all-surveys,White,Wouldn't vote,96,1038,0.09248554913294797
MT,all-surveys,White,Donald J. Trump,96,139,0.6906474820143885
OH,all-surveys,Black or African American,Joe Biden,95,442,0.2149321266968326
OK,all-surveys,White,Joe Biden,95,706,0.13456090651558072
OK,all-surveys,White,Wouldn't vote,95,706,0.13456090651558072
0_ALL_STATES,all-surveys,"Native American / American Indian, White",Wouldn't vote,93,1103,0.0843155031731641
TX,all-surveys,Black or African American,Donald J. Trump,93,160,0.58125
0_ALL_STATES,all-surveys,Native Hawaiian or Pacific Islander,Donald J. Trump,92,199,0.4623115577889447
OH,all-surveys,White,Joe Biden,92,941,0.09776833156216791
WA,all-surveys,White,Wouldn't vote,92,883,0.10419026047565119
AZ,all-surveys,Black or African American,Wouldn't vote,89,581,0.153184165232358
NC,all-surveys,White,Don't know,89,1503,0.059214903526280775
PA,all-surveys,Black or African American,Donald J. Trump,89,158,0.5632911392405063
WA,all-surveys,White,Joe Biden,89,883,0.10079275198187995
TX,all-surveys,Hispanic or Latino,Donald J. Trump,88,154,0.5714285714285714
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian",Joe Biden,87,393,0.22137404580152673
OH,all-surveys,White,Third-Party Candidate,87,941,0.0924548352816153
AZ,all-surveys,Other,Donald J. Trump,84,238,0.35294117647058826
AZ,all-surveys,Native American / American Indian,Donald J. Trump,83,258,0.32170542635658916
WA,all-surveys,Black or African American,Donald J. Trump,83,164,0.5060975609756098
NC,all-surveys,White,Third-Party Candidate,82,1503,0.054557551563539586
OK,all-surveys,White,Third-Party Candidate,82,706,0.11614730878186968
AL,all-surveys,Black or African American,Donald J. Trump,81,212,0.38207547169811323
CA,all-surveys,White,Don't know,80,1339,0.05974607916355489
GA,all-surveys,Black or African American,Donald J. Trump,80,139,0.5755395683453237
0_ALL_STATES,all-surveys,Asian American,Donald J. Trump,79,225,0.3511111111111111
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian, White",Donald J. Trump,78,166,0.46987951807228917
SC,all-surveys,Black or African American,Joe Biden,78,359,0.21727019498607242
0_ALL_STATES,all-surveys,"Hispanic or Latino, Other",Donald J. Trump,77,205,0.375609756097561
0_ALL_STATES,all-surveys,"Other, White",Third-Party Candidate,77,567,0.13580246913580246
WA,all-surveys,Hispanic or Latino,Donald J. Trump,77,168,0.4583333333333333
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian",Joe Biden,76,341,0.22287390029325513
AR,all-surveys,Black or African American,Donald J. Trump,75,208,0.3605769230769231
CA,all-surveys,Native American / American Indian,Donald J. Trump,75,177,0.423728813559322
KY,all-surveys,Black or African American,Donald J. Trump,75,225,0.3333333333333333
OK,all-surveys,"Native American / American Indian, White",Donald J. Trump,73,138,0.5289855072463768
0_ALL_STATES,all-surveys,"Black or African American, Other",Joe Biden,69,451,0.15299334811529933
AZ,all-surveys,Native American / American Indian,Joe Biden,69,258,0.26744186046511625
GA,all-surveys,White,Donald J. Trump,69,93,0.7419354838709677
CA,all-surveys,"Hispanic or Latino, White",Donald J. Trump,67,167,0.40119760479041916
CA,all-surveys,Other,Joe Biden,67,383,0.17493472584856398
ME,all-surveys,White,Donald J. Trump,67,111,0.6036036036036037
FL,all-surveys,White,Donald J. Trump,66,93,0.7096774193548387
0_ALL_STATES,all-surveys,"Hispanic or Latino, White",Wouldn't vote,65,615,0.10569105691056911
0_ALL_STATES,all-surveys,"Other, White",Wouldn't vote,64,567,0.1128747795414462
AZ,all-surveys,"Hispanic or Latino, White",Donald J. Trump,64,134,0.47761194029850745
NY,all-surveys,Black or African American,Donald J. Trump,62,126,0.49206349206349204
OH,all-surveys,White,Don't know,62,941,0.06588735387885228
0_ALL_STATES,all-surveys,"Native American / American Indian, White",Don't know,61,1103,0.05530371713508613
KY,all-surveys,Black or African American,Joe Biden,61,225,0.27111111111111114
0_ALL_STATES,all-surveys,"Black or African American, Other",Wouldn't vote,60,451,0.13303769401330376
MI,all-surveys,Black or African American,Donald J. Trump,60,133,0.45112781954887216
OK,all-surveys,Native American / American Indian,Donald J. Trump,60,119,0.5042016806722689
AZ,all-surveys,Black or African American,Don't know,59,581,0.10154905335628227
NC,all-surveys,Hispanic or Latino,Joe Biden,59,169,0.34911242603550297
0_ALL_STATES,all-surveys,"Other, White",Joe Biden,58,567,0.10229276895943562
0_ALL_STATES,all-surveys,"Asian American, Black or African American, Hispanic or Latino, Middle Eastern or Arab, Native American / American Indian, Native Hawaiian or Pacific Islander, Other, White",Donald J. Trump,57,116,0.49137931034482757
0_ALL_STATES,all-surveys,Middle Eastern or Arab,Donald J. Trump,56,105,0.5333333333333333
AZ,all-surveys,Black or African American,Third-Party Candidate,56,581,0.0963855421686747
CA,all-surveys,Other,Third-Party Candidate,56,383,0.1462140992167102
CO,all-surveys,Hispanic or Latino,Donald J. Trump,56,98,0.5714285714285714
OK,all-surveys,White,Don't know,56,706,0.07932011331444759
PA,all-surveys,Hispanic or Latino,Donald J. Trump,56,82,0.6829268292682927
WA,all-surveys,Other,Donald J. Trump,56,125,0.448
0_ALL_STATES,all-surveys,Asian American,Joe Biden,55,225,0.24444444444444444
CA,all-surveys,Other,Wouldn't vote,55,383,0.14360313315926893
WA,all-surveys,Native American / American Indian,Donald J. Trump,55,107,0.514018691588785
0_ALL_STATES,all-surveys,"Black or African American, Other",Don't know,54,451,0.1197339246119734
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian",Wouldn't vote,54,341,0.15835777126099707
NC,all-surveys,"Black or African American, Other",Donald J. Trump,54,113,0.4778761061946903
OH,all-surveys,Other,Donald J. Trump,54,109,0.4954128440366973
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian",Wouldn't vote,53,393,0.13486005089058525
AL,all-surveys,Black or African American,Joe Biden,53,212,0.25
NC,all-surveys,Hispanic or Latino,Donald J. Trump,53,169,0.3136094674556213
AR,all-surveys,Black or African American,Joe Biden,52,208,0.25
AR,all-surveys,White,Third-Party Candidate,52,524,0.09923664122137404
IL,all-surveys,Hispanic or Latino,Donald J. Trump,52,95,0.5473684210526316
WA,all-surveys,White,Don't know,52,883,0.05889014722536806
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino",Joe Biden,51,240,0.2125
0_ALL_STATES,all-surveys,"Black or African American, White",Joe Biden,51,260,0.19615384615384615
CA,all-surveys,"Native American / American Indian, White",Donald J. Trump,51,106,0.4811320754716981
AR,all-surveys,"Native American / American Indian, White",Donald J. Trump,50,73,0.684931506849315
AR,all-surveys,White,Wouldn't vote,50,524,0.09541984732824428
NC,all-surveys,Other,Wouldn't vote,50,316,0.15822784810126583
AZ,all-surveys,Other,Joe Biden,49,238,0.20588235294117646
AZ,all-surveys,Other,Wouldn't vote,49,238,0.20588235294117646
UT,all-surveys,White,Donald J. Trump,49,75,0.6533333333333333
WV,all-surveys,White,Wouldn't vote,49,611,0.08019639934533551
AR,all-surveys,White,Joe Biden,48,524,0.0916030534351145
IL,all-surveys,Black or African American,Don't know,48,307,0.1563517915309446
NH,all-surveys,White,Donald J. Trump,48,85,0.5647058823529412
KY,all-surveys,White,Don't know,47,1038,0.04527938342967245
WV,all-surveys,White,Third-Party Candidate,47,611,0.07692307692307693
IL,all-surveys,White,Donald J. Trump,46,75,0.6133333333333333
OH,all-surveys,Black or African American,Don't know,46,442,0.10407239819004525
OH,all-surveys,Black or African American,Third-Party Candidate,46,442,0.10407239819004525
OH,all-surveys,Black or African American,Wouldn't vote,46,442,0.10407239819004525
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian, White",Donald J. Trump,45,100,0.45
0_ALL_STATES,all-surveys,Native Hawaiian or Pacific Islander,Joe Biden,45,199,0.22613065326633167
VA,all-surveys,Black or African American,Donald J. Trump,45,99,0.45454545454545453
0_ALL_STATES,all-surveys,"Black or African American, Other",Third-Party Candidate,44,451,0.0975609756097561
IL,all-surveys,Black or African American,Joe Biden,44,307,0.14332247557003258
NC,all-surveys,Other,Don't know,44,316,0.13924050632911392
OR,all-surveys,White,Joe Biden,44,309,0.1423948220064725
PA,all-surveys,White,Wouldn't vote,44,322,0.13664596273291926
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian",Don't know,43,393,0.10941475826972011
0_ALL_STATES,all-surveys,"Hispanic or Latino, Other",Joe Biden,43,205,0.2097560975609756
0_ALL_STATES,all-surveys,"Native American / American Indian, Other",Donald J. Trump,43,91,0.4725274725274725
CA,all-surveys,Other,Don't know,43,383,0.1122715404699739
OH,all-surveys,"Native American / American Indian, White",Donald J. Trump,43,68,0.6323529411764706
OK,all-surveys,Black or African American,Donald J. Trump,43,138,0.3115942028985507
OR,all-surveys,White,Third-Party Candidate,43,309,0.13915857605177995
SC,all-surveys,Black or African American,Don't know,43,359,0.11977715877437325
0_ALL_STATES,all-surveys,"Hispanic or Latino, White",Don't know,42,615,0.06829268292682927
CA,all-surveys,Native American / American Indian,Joe Biden,42,177,0.23728813559322035
WV,all-surveys,White,Joe Biden,42,611,0.06873977086743044
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian",Third-Party Candidate,41,341,0.12023460410557185
MA,all-surveys,Hispanic or Latino,Donald J. Trump,41,82,0.5
WV,all-surveys,"Native American / American Indian, White",Donald J. Trump,41,55,0.7454545454545455
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino, Native American / American Indian",Donald J. Trump,40,75,0.5333333333333333
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian, Other",Donald J. Trump,40,82,0.4878048780487805
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian",Don't know,40,341,0.11730205278592376
CA,all-surveys,"Hispanic or Latino, Other",Donald J. Trump,40,114,0.3508771929824561
NC,all-surveys,"Black or African American, Native American / American Indian",Donald J. Trump,40,92,0.43478260869565216
SC,all-surveys,Black or African American,Wouldn't vote,40,359,0.11142061281337047
WA,all-surveys,"Native American / American Indian, White",Donald J. Trump,40,62,0.6451612903225806
CA,all-surveys,"Other, White",Donald J. Trump,39,88,0.4431818181818182
SD,all-surveys,Native American / American Indian,Joe Biden,39,144,0.2708333333333333
0_ALL_STATES,all-surveys,"Native American / American Indian, Other, White",Third-Party Candidate,38,203,0.18719211822660098
AZ,all-surveys,Native American / American Indian,Wouldn't vote,38,258,0.14728682170542637
CA,all-surveys,"Hispanic or Latino, White",Joe Biden,38,167,0.2275449101796407
NE,all-surveys,Black or African American,Donald J. Trump,38,107,0.35514018691588783
SD,all-surveys,Native American / American Indian,Donald J. Trump,38,144,0.2638888888888889
0_ALL_STATES,all-surveys,"Hispanic or Latino, Other, White",Donald J. Trump,37,87,0.42528735632183906
0_ALL_STATES,all-surveys,"Other, White",Don't know,37,567,0.06525573192239859
AL,all-surveys,White,Third-Party Candidate,37,325,0.11384615384615385
AZ,all-surveys,"Hispanic or Latino, Native American / American Indian",Donald J. Trump,37,105,0.3523809523809524
CA,all-surveys,Asian American,Joe Biden,37,103,0.3592233009708738
NC,all-surveys,Other,Joe Biden,37,316,0.11708860759493671
NC,all-surveys,"Other, White",Donald J. Trump,37,59,0.6271186440677966
0_ALL_STATES,all-surveys,Asian American,Third-Party Candidate,36,225,0.16
AZ,all-surveys,Other,Third-Party Candidate,36,238,0.15126050420168066
CA,all-surveys,"Black or African American, Other",Donald J. Trump,36,67,0.5373134328358209
CA,all-surveys,"Hispanic or Latino, Native American / American Indian",Joe Biden,36,113,0.3185840707964602
IN,all-surveys,White,Donald J. Trump,36,54,0.6666666666666666
OK,all-surveys,Black or African American,Joe Biden,36,138,0.2608695652173913
IL,all-surveys,Other,Donald J. Trump,35,53,0.660377358490566
KY,all-surveys,"Native American / American Indian, White",Donald J. Trump,35,49,0.7142857142857143
MA,all-surveys,Black or African American,Donald J. Trump,35,80,0.4375
WA,all-surveys,Hispanic or Latino,Joe Biden,34,168,0.20238095238095238
CA,all-surveys,"Hispanic or Latino, Native American / American Indian",Donald J. Trump,33,113,0.2920353982300885
KY,all-surveys,Black or African American,Wouldn't vote,33,225,0.14666666666666667
0_ALL_STATES,all-surveys,"Black or African American, Native American / American Indian",Third-Party Candidate,32,393,0.08142493638676845
0_ALL_STATES,all-surveys,"Black or African American, White",Wouldn't vote,32,260,0.12307692307692308
NC,all-surveys,Other,Third-Party Candidate,32,316,0.10126582278481013
NJ,all-surveys,Black or African American,Donald J. Trump,32,53,0.6037735849056604
SC,all-surveys,White,Third-Party Candidate,32,405,0.07901234567901234
SC,all-surveys,White,Wouldn't vote,32,405,0.07901234567901234
SD,all-surveys,Native American / American Indian,Wouldn't vote,32,144,0.2222222222222222
AL,all-surveys,White,Wouldn't vote,31,325,0.09538461538461539
AZ,all-surveys,Native American / American Indian,Third-Party Candidate,31,258,0.12015503875968993
KY,all-surveys,Black or African American,Third-Party Candidate,31,225,0.13777777777777778
KY,all-surveys,Other,Donald J. Trump,31,58,0.5344827586206896
MI,all-surveys,Black or African American,Joe Biden,31,133,0.23308270676691728
MO,all-surveys,White,Donald J. Trump,31,49,0.6326530612244898
NE,all-surveys,Hispanic or Latino,Donald J. Trump,31,73,0.4246575342465753
NE,all-surveys,White,Wouldn't vote,31,251,0.12350597609561753
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino",Wouldn't vote,30,240,0.125
AZ,all-surveys,Native American / American Indian,Don't know,30,258,0.11627906976744186
CA,all-surveys,"Hispanic or Latino, White",Third-Party Candidate,30,167,0.17964071856287425
NE,all-surveys,White,Third-Party Candidate,30,251,0.11952191235059761
PA,all-surveys,White,Joe Biden,30,322,0.09316770186335403
WA,all-surveys,"Other, White",Donald J. Trump,30,50,0.6
AR,all-surveys,Black or African American,Don't know,29,208,0.13942307692307693
OR,all-surveys,White,Wouldn't vote,29,309,0.09385113268608414
TX,all-surveys,Hispanic or Latino,Joe Biden,29,154,0.18831168831168832
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian, White",Joe Biden,28,166,0.1686746987951807
0_ALL_STATES,all-surveys,"Hispanic or Latino, Other",Third-Party Candidate,28,205,0.13658536585365855
0_ALL_STATES,all-surveys,"Middle Eastern or Arab, White",Donald J. Trump,28,43,0.6511627906976745
AL,all-surveys,White,Joe Biden,28,325,0.08615384615384615
CA,all-surveys,Asian American,Donald J. Trump,28,103,0.27184466019417475
NM,all-surveys,Hispanic or Latino,Donald J. Trump,28,53,0.5283018867924528
SC,all-surveys,Black or African American,Third-Party Candidate,28,359,0.07799442896935933
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino, White",Donald J. Trump,27,56,0.48214285714285715
0_ALL_STATES,all-surveys,White,"Donald J. Trump, Wouldn't vote",27,13290,0.0020316027088036117
AL,all-surveys,Black or African American,Wouldn't vote,27,212,0.12735849056603774
AZ,all-surveys,"Hispanic or Latino, White",Joe Biden,27,134,0.20149253731343283
CA,all-surveys,Native American / American Indian,Third-Party Candidate,27,177,0.15254237288135594
OH,all-surveys,Native American / American Indian,Donald J. Trump,27,42,0.6428571428571429
OH,all-surveys,"Other, White",Donald J. Trump,27,48,0.5625
PA,all-surveys,Black or African American,Joe Biden,27,158,0.17088607594936708
PA,all-surveys,White,Third-Party Candidate,27,322,0.08385093167701864
0_ALL_STATES,all-surveys,Asian American,Wouldn't vote,26,225,0.11555555555555555
0_ALL_STATES,all-surveys,"Asian American, White",Donald J. Trump,26,46,0.5652173913043478
AR,all-surveys,Black or African American,Third-Party Candidate,26,208,0.125
CA,all-surveys,Native Hawaiian or Pacific Islander,Donald J. Trump,26,64,0.40625
GA,all-surveys,Black or African American,Joe Biden,26,139,0.18705035971223022
NY,all-surveys,Hispanic or Latino,Donald J. Trump,26,56,0.4642857142857143
WA,all-surveys,Other,Wouldn't vote,26,125,0.208
WV,all-surveys,Black or African American,Donald J. Trump,26,65,0.4
0_ALL_STATES,all-surveys,"Black or African American, White",Third-Party Candidate,25,260,0.09615384615384616
0_ALL_STATES,all-surveys,"Hispanic or Latino, Native American / American Indian, White",Third-Party Candidate,25,166,0.15060240963855423
0_ALL_STATES,all-surveys,"Hispanic or Latino, Other",Don't know,25,205,0.12195121951219512
AZ,all-surveys,"Other, White",Donald J. Trump,25,69,0.36231884057971014
CA,all-surveys,"Hispanic or Latino, Other",Joe Biden,25,114,0.21929824561403508
OK,all-surveys,Native American / American Indian,Wouldn't vote,25,119,0.21008403361344538
OK,all-surveys,Other,Donald J. Trump,25,62,0.4032258064516129
SC,all-surveys,White,Joe Biden,25,405,0.06172839506172839
SD,all-surveys,White,Third-Party Candidate,25,189,0.13227513227513227
TX,all-surveys,Black or African American,Joe Biden,25,160,0.15625
WA,all-surveys,Black or African American,Wouldn't vote,25,164,0.1524390243902439
0_ALL_STATES,all-surveys,"Black or African American, Hispanic or Latino",Don't know,24,240,0.1
0_ALL_STATES,all-surveys,"Hispanic or Latino, Other",Wouldn't vote,24,205,0.11707317073170732
0_ALL_STATES,all-surveys,"Native American / American Indian, Other, White",Joe Biden,24,203,0.11822660098522167
AL,all-surveys,White,Don't know,24,325,0.07384615384615385
AR,all-surveys,Black or African American,Wouldn't vote,24,208,0.11538461538461539
AZ,all-surveys,"Native American / American Indian, White",Donald J. Trump,24,56,0.42857142857142855
KY,all-surveys,Black or African American,Don't know,24,225,0.10666666666666667
OK,all-surveys,Black or African American,Don't know,24,138,0.17391304347826086
OK,all-surveys,"Native American / American Indian, White",Joe Biden,24,138,0.17391304347826086
OR,all-surveys,"Native American / American Indian, White",Donald J. Trump,24,42,0.5714285714285714
SC,all-surveys,Other,Donald J. Trump,24,49,0.4897959183673469
WA,all-surveys,Black or African American,Joe Biden,24,164,0.14634146341463414
WV,all-surveys,White,Don't know,24,611,0.03927986906710311
AL,all-surveys,Black or African American,Third-Party Candidate,23,212,0.10849056603773585
NC,all-surveys,Hispanic or Latino,Wouldn't vote,23,169,0.13609467455621302
NY,all-surveys,Black or African American,Joe Biden,23,126,0.18253968253968253
SC,all-surveys,White,Don't know,23,405,0.056790123456790124
SD,all-surveys,White,Joe Biden,23,189,0.12169312169312169
WA,all-surveys,Hispanic or Latino,Third-Party Candidate,23,168,0.13690476190476192
0_ALL_STATES,all-surveys,"Native American / American Indian, Other, White",Wouldn't vote,22,203,0.10837438423645321
0_ALL_STATES,all-surveys,Native Hawaiian or Pacific Islander,Third-Party Candidate,22,199,0.11055276381909548
AL,all-surveys,Black or African American,Don't know,22,212,0.10377358490566038
CA,all-surveys,Native American / American Indian,Wouldn't vote,22,177,0.12429378531073447
NE,all-surveys,Black or African American,Joe Biden,22,107,0.205607476635514
NE,all-surveys,White,Joe Biden,22,251,0.08764940239043825
NJ,all-surveys,Hispanic or Latino,Donald J. Trump,22,39,0.5641025641025641
NM,all-surveys,White,Donald J. Trump,22,32,0.6875
NY,all-surveys,White,Wouldn't vote,22,168,0.13095238095238096
SD,all-surveys,White,Wouldn't vote,22,189,0.1164021164021164
WA,all-surveys,Native Hawaiian or Pacific Islander,Donald J. Trump,22,39,0.5641025641025641
0_ALL_STATES,all-surveys,"Native Hawaiian or Pacific Islander, White",Donald J. Trump,21,36,0.5833333333333334
CA,all-surveys,"Black or African American, Hispanic or Latino",Donald J. Trump,21,56,0.375
CA,all-surveys,"Black or African American, Hispanic or Latino",Joe Biden,21,56,0.375
CA,all-surveys,"Hispanic or Latino, White",Wouldn't vote,21,167,0.12574850299401197
MO,all-surveys,Black or African American,Donald J. Trump,21,42,0.5
MT,all-surveys,Native American / American Indian,Donald J. Trump,21,39,0.5384615384615384
OK,all-surveys,Black or African American,Wouldn't vote,21,138,0.15217391304347827
OK,all-surveys,Hispanic or Latino,Donald J. Trump,21,64,0.328125
TX,all-surveys,Black or African American,Wouldn't vote,21,160,0.13125
